ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562135.127990 0.009993 15.173164 3.180608 1.699480 1335562135.128038 0.009980 25.398791 12.116869 1.603861 
1335562135.138004 0.010014 17.094805 3.795629 1.884863 1335562135.138063 0.010025 25.214612 12.021309 1.595129 
1335562135.148004 0.010000 16.914384 3.585819 1.605226 1335562135.148064 0.010001 25.273798 12.045677 1.440294 
1335562135.158004 0.010000 16.853349 3.523258 1.615907 1335562135.158062 0.009998 25.267295 12.021653 1.602480 
1335562135.167997 0.009993 16.846686 3.519588 1.613971 1335562135.168054 0.009992 25.322675 12.062707 1.601947 
1335562135.177995 0.009998 16.865721 3.530035 1.616216 1335562135.178052 0.009998 25.299344 12.061333 1.600954 
1335562135.187997 0.010002 16.865391 3.527163 1.588139 1335562135.188055 0.010003 25.216513 12.001907 1.600153 
1335562135.197989 0.009992 16.874657 3.529170 2.040230 1335562135.198045 0.009990 25.353476 12.092504 1.602253 
1335562135.208004 0.010015 16.826549 3.519497 1.601295 1335562135.208064 0.010019 25.228089 12.017800 1.599124 
1335562135.218004 0.010000 16.848771 3.520206 1.614381 1335562135.218061 0.009997 25.305414 12.062771 1.443930 
1335562135.227997 0.009993 16.851267 3.524169 1.613971 1335562135.228049 0.009988 25.332347 12.082591 1.602559 
1335562135.237997 0.010000 16.859452 3.521732 1.611330 1335562135.238055 0.010006 25.267251 12.041174 1.599695 
1335562135.247997 0.010000 16.839616 3.523258 1.593019 1335562135.248055 0.010000 25.285363 12.057507 1.600648 
1335562135.257997 0.010000 16.848771 3.520206 2.032473 1335562135.258055 0.010000 25.259424 12.042248 1.600648 
1335562135.268004 0.010007 17.151244 3.836462 2.050891 1335562135.268059 0.010004 25.285796 12.046520 1.598475 
1335562135.278004 0.010000 16.886918 3.556827 1.606752 1335562135.278062 0.010003 25.288207 12.053771 1.600153 
1335562135.287997 0.009993 17.228420 3.893687 1.610918 1335562135.288053 0.009991 25.264002 12.034841 1.600573 
1335562135.297997 0.010000 16.870133 3.555301 1.611330 1335562135.298052 0.009999 25.301509 12.052553 1.599275 
1335562135.307997 0.010000 15.159621 3.517154 1.611330 1335562135.308053 0.010001 25.276849 12.039574 1.600496 
1335562135.317997 0.010000 18.844622 3.843693 1.698305 1335562135.318053 0.010000 22.738669 10.829173 1.440431 
1335562135.328004 0.010007 15.144573 3.520823 1.994473 1335562135.328062 0.010009 25.289917 12.067935 1.602249 
1335562135.337989 0.009985 16.901624 3.178606 1.601528 1335562135.338043 0.009981 25.815255 12.566706 1.599121 
1335562135.348004 0.010015 17.122125 3.807456 1.610437 1335562135.348062 0.010019 25.234181 12.034553 1.600647 
1335562135.357997 0.009993 17.176504 3.835664 1.615498 1335562135.358052 0.009990 25.350421 12.077230 1.603780 
1335562135.367990 0.009993 17.171923 3.846352 1.609391 1335562135.368050 0.009998 25.314606 12.090330 1.597902 
1335562135.377989 0.009999 17.180000 3.839481 1.591645 1335562135.378049 0.009999 25.348816 12.096807 1.597749 
1335562135.388004 0.010015 16.803695 3.516450 2.478884 1335562135.388064 0.010015 25.241346 12.028758 1.599771 
1335562135.398004 0.010000 16.862504 3.535465 2.050783 1335562135.398059 0.009995 25.270550 12.034540 1.601450 
1335562135.408004 0.010000 16.813676 3.511051 1.612856 1335562135.408062 0.010003 25.253122 12.027839 1.600153 
1335562135.417997 0.009993 16.865009 3.528749 1.615498 1335562135.418055 0.009993 25.293697 12.045999 1.604810 
1335562135.427997 0.010000 17.141740 3.828434 1.612856 1335562135.428056 0.010001 25.272272 12.036522 1.600496 
1335562135.437997 0.010000 16.868607 3.524784 1.600648 1335562135.438054 0.009998 25.265768 12.041493 1.600954 
1335562135.447997 0.010000 16.838090 3.518680 1.698305 1335562135.448055 0.010001 25.286004 12.036522 1.598970 
1335562135.458004 0.010007 16.821881 3.513199 2.047841 1335562135.458059 0.010004 25.258341 12.031268 1.600000 
1335562135.467989 0.009985 16.863419 3.527030 1.600000 1335562135.468048 0.009989 25.526983 12.270855 1.599351 
1335562135.477990 0.010001 16.836484 3.515293 1.617279 1335562135.478054 0.010006 25.383149 12.161647 1.598170 
1335562135.487997 0.010007 17.460783 4.124655 1.607167 1335562135.488055 0.010001 25.290581 12.050254 1.598970 
1335562135.497995 0.009998 16.871825 3.554453 1.610111 1335562135.498053 0.009998 22.752164 10.838870 1.439180 
1335562135.507989 0.009994 17.159597 3.835297 1.589389 1335562135.508041 0.009988 25.289571 12.036760 1.605614 
1335562135.517990 0.010001 16.889885 3.556488 2.372518 1335562135.518046 0.010005 25.521304 12.269564 1.598322 
1335562135.528006 0.010016 17.112878 3.814711 2.443609 1335562135.528075 0.010029 20.031475 6.838940 1.705551 
1335562135.538006 0.010000 16.040054 4.045109 2.278139 1335562135.538071 0.009996 17.715022 4.486381 2.497352 
1335562135.548007 0.010001 18.700932 5.375164 2.100937 1335562135.548075 0.010004 17.404766 4.173117 2.733270 
1335562135.558029 0.010022 17.912692 4.616344 2.766457 1335562135.558079 0.010004 17.601525 4.377502 2.731745 
1335562135.568023 0.009994 16.861873 3.531466 2.093230 1335562135.568078 0.009999 17.393643 4.169103 1.939579 
1335562135.578023 0.010000 16.824357 3.517154 2.700808 1335562135.578080 0.010002 17.420705 4.195371 1.600343 
1335562135.588027 0.010004 17.177502 3.843661 2.498379 1335562135.588081 0.010001 17.387274 4.172885 1.602022 
1335562135.598026 0.009999 16.841222 3.517490 1.606905 1335562135.598084 0.010003 17.403375 4.168939 1.601678 
1335562135.608027 0.010001 16.836484 3.521396 1.614227 1335562135.608077 0.009993 17.431503 4.189913 1.604810 
1335562135.618021 0.009994 16.858820 3.520779 1.616871 1335562135.618077 0.010000 17.388933 4.174809 1.602174 
1335562135.628021 0.010000 16.842667 3.514102 1.612856 1335562135.628078 0.010001 17.431521 4.191194 1.602022 
1335562135.638023 0.010002 16.810469 3.508856 1.586613 1335562135.638078 0.010000 17.419450 4.179386 1.600648 
1335562135.648026 0.010003 16.837449 3.522166 2.155401 1335562135.648084 0.010006 17.401449 4.181472 1.598170 
1335562135.658025 0.009999 16.879372 3.534276 1.600801 1335562135.658082 0.009998 17.396828 4.177131 1.440706 
1335562135.668026 0.010001 16.857844 3.527499 1.612702 1335562135.668087 0.010005 17.422934 4.186446 1.598322 
1335562135.678023 0.009997 16.846363 3.522824 1.610303 1335562135.678080 0.009993 17.451353 4.192967 1.601756 
1335562135.688024 0.010001 17.172146 3.843326 1.611176 1335562135.688078 0.009998 17.404459 4.174079 1.600954 
1335562135.698021 0.009997 17.176055 3.841832 1.588934 1335562135.698080 0.010002 17.382565 4.157231 1.600343 
1335562135.708024 0.010003 16.874059 3.555725 2.262179 1335562135.708080 0.010000 15.705887 3.788761 1.600648 
1335562135.718025 0.010001 17.143157 3.825017 1.827830 1335562135.718082 0.010002 17.385617 4.163333 1.600343 
1335562135.728023 0.009998 15.208299 3.208012 1.449863 1335562135.728081 0.009999 17.595079 4.379694 1.599275 
1335562135.738020 0.009997 16.863153 3.522824 1.614882 1335562135.738079 0.009998 17.662382 4.415214 1.600954 
1335562135.748021 0.010001 16.833433 3.518345 1.612702 1335562135.748077 0.009998 17.645594 4.412162 1.600954 
1335562135.758022 0.010001 17.187403 3.857058 1.603547 1335562135.758076 0.009999 17.411955 4.181311 1.602327 
1335562135.768023 0.010001 16.848690 3.525973 1.809522 1335562135.768082 0.010006 17.395349 4.176897 1.599695 
1335562135.778026 0.010003 16.837449 3.519115 2.156926 1335562135.778084 0.010002 17.403924 4.172487 1.601869 
1335562135.788022 0.009996 16.863235 3.543004 1.602824 1335562135.788078 0.009994 17.408464 4.166611 1.603130 
1335562135.798026 0.010004 17.130219 3.828408 1.613727 1335562135.798083 0.010005 17.393957 4.174245 1.601373 
1335562135.808005 0.009979 16.914777 3.535253 1.611659 1335562135.808075 0.009992 17.818416 4.561502 1.600420 
1335562135.818020 0.010015 17.138885 3.834881 1.611960 1335562135.818077 0.010002 17.391719 4.164859 1.600343 
1335562135.828023 0.010003 16.832873 3.519115 1.589475 1335562135.828080 0.010003 17.404900 4.176566 1.600153 
1335562135.838023 0.010000 16.851823 3.520206 2.265932 1335562135.838080 0.010000 17.378251 4.161076 1.600648 
1335562135.848023 0.010000 16.833512 3.511051 1.599123 1335562135.848081 0.010001 17.408635 4.169833 1.598970 
1335562135.858027 0.010004 17.157674 3.836034 1.610677 1335562135.858084 0.010003 17.407951 4.181142 1.600153 
1335562135.868021 0.009994 16.880195 3.549788 1.610764 1335562135.868075 0.009991 17.400119 4.166376 1.602100 
1335562135.878023 0.010002 16.840981 3.524111 1.611022 1335562135.878080 0.010005 17.398532 4.157468 1.598322 
1335562135.888021 0.009998 17.163324 3.833743 1.596375 1335562135.888075 0.009995 17.428176 4.183007 1.602977 
1335562135.898022 0.010001 17.170620 3.838749 2.032279 1335562135.898080 0.010005 17.368030 4.157468 1.439710 
1335562135.908025 0.010003 16.860330 3.549623 1.889980 1335562135.908080 0.010000 15.713516 3.796390 1.602174 
1335562135.918027 0.010002 15.147577 3.165598 1.606446 1335562135.918088 0.010008 17.602020 4.383353 1.439264 
1335562135.928025 0.009998 17.161798 3.824586 1.614689 1335562135.928080 0.009992 17.665704 4.408790 1.603474 
1335562135.938023 0.009998 16.816883 3.513247 1.613163 1335562135.938080 0.010000 17.620866 4.400639 1.602174 
1335562135.948016 0.009993 17.191774 3.844825 1.765138 1335562135.948072 0.009992 17.679448 4.442387 1.600420 
1335562135.958021 0.010005 17.279573 3.957678 1.746259 1335562135.958086 0.010014 17.362983 4.155231 1.438408 
1335562135.968026 0.010005 16.872367 3.553522 2.264798 1335562135.968086 0.010000 17.436235 4.188542 1.602174 
1335562135.978007 0.009981 17.714163 4.360127 1.600650 1335562135.978076 0.009990 17.417054 4.171356 1.608363 
1335562135.988024 0.010017 16.878183 3.556910 1.611653 1335562135.988080 0.010004 17.386463 4.170067 1.601525 
1335562135.998024 0.010000 17.471330 4.136662 1.615907 1335562135.998081 0.010001 17.402532 4.177462 1.603547 
1335562136.008021 0.009997 17.166897 3.837253 1.614882 1335562136.008068 0.009987 17.449545 4.186302 1.602712 
1335562136.018023 0.010002 16.868442 3.553098 1.595766 1335562136.018078 0.010010 17.363916 4.159962 1.600572 
1335562136.028026 0.010003 17.145581 3.834875 2.260654 1335562136.028081 0.010003 17.394223 4.175041 1.601678 
1335562136.038027 0.010001 16.895988 3.561065 1.942260 1335562136.038083 0.010002 17.432910 4.195371 1.601869 
1335562136.048004 0.009977 16.862953 3.526752 1.611967 1335562136.048073 0.009990 18.063149 4.815923 1.600726 
1335562136.058023 0.010019 16.825833 3.515027 1.606739 1335562136.058081 0.010008 17.373323 4.151607 1.599352 
1335562136.068022 0.009999 16.842748 3.520542 1.611483 1335562136.068079 0.009998 17.383093 4.167974 1.600954 
1335562136.078024 0.010002 17.144573 3.829229 1.598818 1335562136.078080 0.010001 17.417789 4.183565 1.441819 
1335562136.088023 0.009999 17.175421 3.837955 1.809867 1335562136.088079 0.009999 17.421112 4.181311 1.602327 
1335562136.098027 0.010004 17.136320 3.826883 2.046902 1335562136.098084 0.010005 17.398532 4.183395 1.601373 
1335562136.108025 0.009998 16.864195 3.531561 1.604006 1335562136.108081 0.009997 15.686334 3.779251 1.599618 
1335562136.118030 0.010005 15.147460 3.163092 1.454961 1335562136.118090 0.010009 17.415879 4.184750 1.599200 
1335562136.128023 0.009993 16.878752 3.531803 1.617025 1335562136.128081 0.009991 17.650591 4.410739 1.602100 
1335562136.138021 0.009998 16.850459 3.520878 1.614689 1335562136.138078 0.009997 17.644646 4.403530 1.601145 
1335562136.148023 0.010002 16.822674 3.518009 1.588139 1335562136.148080 0.010002 17.405449 4.174013 1.601869 
1335562136.158025 0.010002 17.167457 3.839908 2.151081 1335562136.158081 0.010001 17.385749 4.169833 1.600496 
1335562136.168026 0.010001 17.161466 3.837223 1.600496 1335562136.168085 0.010004 17.412393 4.183794 1.601525 
1335562136.178025 0.009999 16.862586 3.526646 1.613009 1335562136.178083 0.009998 17.402933 4.171027 1.600954 
1335562136.188024 0.009999 16.827488 3.519016 1.613009 1335562136.188084 0.010001 17.405583 4.172885 1.602022 
1335562136.198021 0.009997 16.847889 3.524350 1.617935 1335562136.198079 0.009995 17.403750 4.172320 1.601450 
1335562136.208022 0.010001 17.173672 3.838749 1.597444 1335562136.208079 0.010000 17.422502 4.177860 1.600648 
1335562136.218020 0.009998 17.151115 3.838321 2.032860 1335562136.218075 0.009996 17.415828 4.171922 1.601298 
1335562136.228027 0.010007 16.873725 3.552845 2.049366 1335562136.228084 0.010009 17.359472 4.157309 1.599200 
1335562136.238025 0.009998 16.851985 3.523930 1.608585 1335562136.238082 0.009998 17.457875 4.203076 1.599428 
1335562136.248024 0.009999 16.862586 3.528172 1.613009 1335562136.248079 0.009997 17.417219 4.177629 1.601145 
1335562136.258022 0.009998 16.847407 3.525456 1.610111 1335562136.258077 0.009998 17.401407 4.167974 1.599428 
1335562136.268023 0.010001 17.155363 3.841800 1.605073 1335562136.268078 0.010001 17.397955 4.168308 1.600496 
