freq nodes cores pkg-clamp-0 pkg-clamp-1 dram-clamp-0 dram-clamp-1 avg-time avg-pkg-0 avg-pp0-0 avg-dram-0 avg-pkg-1 avg-pp0-1 avg-dram-1 tot-pkg-0 tot-pp0-0 tot-dram-0 tot-pkg-1 tot-pp0-1 tot-dram-1
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 5.06197953125 64.729582640625 51.49183396875 5.13597809375 64.176572390625 50.98135503125 2.142060953125 4142.693289 3295.477374 328.702598 4107.300633 3262.806722 137.091901 
 2600.000 16 128 65.000000 65.000000 0.000000 0.000000 20.6978435 64.2471556875 50.99192375 5.6372359375 64.254764875 51.051682625 2.2766463125 1027.954491 815.87078 90.195775 1028.076238 816.826922 36.426341 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 5.535423953125 63.42295734375 50.185956046875 5.1382983125 63.328995375 50.133015859375 2.281872375 4059.06927 3211.901187 328.851092 4053.055704 3208.513015 146.039832 
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 9.95506078125 33.47595525 20.25881646875 5.05443684375 33.19940065625 20.01986565625 2.24084053125 1071.230568 648.282127 161.741979 1062.380821 640.635701 71.706897 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 78.9586765 33.55355425 20.3057665 6.034028 33.3636925 20.18586775 3.0832715 134.214217 81.223066 24.136112 133.45477 80.743471 12.333086 
 2600.000 16 256 51.000000 51.000000 0.000000 0.000000 10.0038385 33.43811284375 20.2189405 5.0422104375 33.08073446875 19.9027863125 2.21431746875 1070.019611 647.006096 161.350734 1058.583503 636.889162 70.858159 
 2600.000 16 64 51.000000 51.000000 0.000000 0.000000 12.58749225 50.42673234375 37.2034204375 5.1699973125 50.42516871875 37.2531455625 2.1028330625 1613.655435 1190.509454 165.439914 1613.605399 1192.100658 67.290658 
 2600.000 16 128 80.000000 80.000000 0.000000 0.000000 39.519529125 43.776720125 30.542315125 6.097158875 43.658478875 30.479673125 2.7455 350.213761 244.338521 48.777271 349.267831 243.837385 21.964 
 2600.000 16 256 95.000000 95.000000 0.000000 0.000000 9.92780265625 43.70635190625 30.4735795625 5.3141049375 43.346228375 30.1543644375 2.277727375 1398.603261 975.154546 170.051358 1387.079308 964.939662 72.887276 
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 39.526831875 33.9354945 20.698122625 5.401395 33.227390375 20.050740875 2.137407375 271.483956 165.584981 43.21116 265.819123 160.405927 17.099259 
 2600.000 16 128 51.000000 51.000000 0.000000 0.000000 10.01456865625 43.54616234375 30.31252159375 5.3282934375 43.16478071875 29.970039125 2.492522375 1393.477195 970.000691 170.50539 1381.272983 959.041252 79.760716 
 2600.000 16 256 80.000000 80.000000 0.000000 0.000000 5.037871953125 43.16547903125 29.96694678125 5.06507709375 42.885824609375 29.711514765625 2.396553953125 2762.590658 1917.884594 324.164934 2744.692775 1901.536945 153.379453 
 2600.000 16 64 51.000000 51.000000 0.000000 0.000000 12.6551360625 50.3964896875 37.17312425 5.1598565 50.3953484375 37.2230195 2.08869659375 1612.68767 1189.539976 165.115408 1612.65115 1191.136624 66.838291 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 19.8013815 43.8092705625 30.58533375 5.3921903125 43.2144193125 30.026972625 2.14548025 700.948329 489.36534 86.275045 691.430709 480.431562 34.327684 
 2600.000 16 256 51.000000 51.000000 0.000000 0.000000 5.107459046875 42.880632 29.67939209375 5.07966965625 42.580742703125 29.405572109375 2.35684053125 2744.360448 1899.481094 325.098858 2725.167533 1881.956615 150.837794 
 2600.000 16 64 95.000000 95.000000 0.000000 0.000000 19.8011000625 33.8385301875 20.576072625 5.2388641875 33.387325625 20.1992054375 2.2354671875 541.416483 329.217162 83.821827 534.19721 323.187287 35.767475 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 20.01005275 65.8004509375 52.5432086875 5.612226375 65.7081475625 52.5054804375 2.3531300625 1052.807215 840.691339 89.795622 1051.330361 840.087687 37.650081 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 5.47507815625 63.29831328125 50.060446984375 5.13519128125 63.200913265625 50.00430365625 2.156979 4051.09205 3203.868607 328.652242 4044.858449 3200.275434 138.046656 
 2600.000 32 128 80.000000 80.000000 0.000000 0.000000 19.99531825 33.8552021875 20.5934073125 5.2095763125 33.40263775 20.21480375 2.4294380625 541.683235 329.494517 83.353221 534.442204 323.43686 38.871009 
 2600.000 32 256 65.000000 65.000000 0.000000 0.000000 39.531031625 33.931731 20.695145125 5.489503375 33.166427625 19.990958625 2.36906 271.453848 165.561161 43.916027 265.331421 159.927669 18.95248 
